plane,metro_rer,tgv,fioul,gaz,electricite,gazole,essence,elec_car,nr_veg,nr_mix,emission
3621.4723657699906,19.990215181298687,0,1804.3720247642186,813.956805577434,4431.719605176126,3876.3834554375926,8301.893161652933,15949.497192492196,12,2,13921.951652910571
3228.3046115854368,24.94185877649668,2000,1807.1769108124774,702.0846850532479,5375.492533892154,12090.844236077324,4440.583087877481,13530.420335547333,13,1,14320.803545703322
3729.366317221096,18.722047215127784,0,3577.07577702753,476.5360496404602,5373.978356358809,8897.285326181438,13152.525979819859,11358.174215230112,2,12,22841.751430511977
4324.939447867685,22.79984626854822,0,4051.969315556031,496.1945994975267,401.30305174174646,13847.092292396599,4838.467159574149,15371.327291988931,7,7,22837.590796884266
3599.274040809485,20.11389246779729,1000,2617.3873720129286,967.9807452283737,4754.340359187251,13712.496793383962,11225.145314763815,10336.793856292657,1,13,20773.614085053174
4236.954498955761,23.97830089079123,0,1958.8272956053806,699.7483316602237,2651.34631353174,9141.424688180912,16773.554913182717,14659.52198906644,0,14,18687.297620881272
3943.736497898066,31.232914528648728,2000,2488.338551777005,1137.7281573340597,3302.9921577649657,11469.615506040083,14920.327899320886,11582.260268001944,10,4,20500.696423007503
4490.377951246592,13.630936881765944,500,2702.863076352474,864.1134367224973,5710.111214178906,12525.904304346985,7664.588539458927,6991.837717039031,11,3,19505.470079055955
2700.0324411210077,19.829805287000745,0,3419.758813823871,447.35309760314334,5737.031279885593,12989.01044445653,7443.331272859004,16660.95768783472,13,1,20339.702508559778
4327.015016920603,19.747265526337962,0,2492.1654956979014,504.8055982612241,2973.989580835213,15769.589553649374,7194.91831315829,12410.780556620519,7,7,18689.607294470225
3873.5585793124637,23.717800369050423,1000,3112.1289298311053,804.2916330901606,5306.215834142873,11781.016689549968,9574.094090061646,11889.32656510879,12,2,20629.317941332556
4030.1487393543653,17.340329111283214,1000,2302.334616377267,703.6500955535132,4585.686035912001,11821.35065170161,5690.546304215043,8337.687676861648,2,12,17495.157305020897
4071.243285718281,27.71483888430006,500,3647.478199754243,947.5037796919804,3992.4888747796635,9025.673385984048,13164.598679625911,9441.915704573988,8,6,22916.36435140768
4432.6366319433755,15.952416679994744,500,3373.987377608556,922.9285949875133,4754.011411746201,18724.187884459025,12281.840696449395,9845.030594016525,12,2,24391.006909584725
3848.7903332522255,23.079010641289344,500,4214.092478575928,1177.0618946996333,2440.061983640702,17779.907442907275,17230.183924796314,16301.06012470458,5,9,29221.305080402148
4336.520611516765,21.04542292530464,2000,2835.796410532416,583.0656561518701,3643.3302182577163,19766.720802634853,14623.376155493446,9912.979341450917,4,10,23000.394397638287
3709.2679010621596,12.689423392937165,0,2375.344778986234,675.2068411999932,3396.33896823865,13977.220088545335,9078.090420863049,12363.198759324061,0,14,19085.092590737957
4670.698784354144,15.099109898764976,2000,695.2634094791815,647.3286753853736,6624.185131758075,11441.618321091204,14779.362279384946,12615.915151142444,5,9,14533.523517433154
3339.343747287002,20.938268263589187,0,3988.9215534537225,610.6695310805629,1652.5679554969852,15823.70514453253,5456.470053657146,10391.137002669035,13,1,22486.97347191051
3934.592984621587,16.417738658396182,2000,2987.6616071112853,520.7871887139437,2977.7620417946146,10534.858251775084,10268.221306008145,15519.590664181433,8,6,19256.771661081348
4410.116901327104,16.077846752938648,2000,2140.8477827745596,1140.2237471435033,6892.052862999024,16934.88375937681,16107.568624143038,12768.341761726315,9,5,21756.049579188824
3948.077255574824,25.78836256025813,2000,3251.930971805014,887.5543660337537,3896.93131625575,16053.246184692352,4012.8629543429997,12301.849426959609,7,7,21400.53360236822
3353.854366110328,20.080383130576497,2000,3918.834461816101,811.9061186371299,4423.847090926751,10911.553962843454,14628.324724090166,7975.6938753393115,5,9,25016.57170893777
3149.8844260791,21.41674326317451,0,2287.1604794440887,787.7454786357282,3881.8116582598586,10878.817177537947,14689.34249161781,16755.284624668708,6,8,19203.305400904028
3315.2913980182757,29.441088837718773,1000,3655.958153426978,770.709999058857,5630.191600850574,11995.430122940123,7941.313241044605,7490.1386175329,5,9,21982.959052535414
4182.100085590567,17.66764772119161,2000,3586.0842158504947,681.9179651227333,4528.216868460245,24629.95068666751,14759.434704933888,7318.971076620782,10,4,26645.861125282492
3326.2147733199045,18.62839900523241,500,2948.0269208912573,829.5815642766769,6192.162341385614,10011.88840477317,14779.518876682361,10049.44252564897,3,11,21545.21920636901
4255.58577545624,17.06305002414231,2000,3092.0329547585056,381.060593845506,4376.330134361562,9617.284764040476,6947.187509312696,12985.468123186742,8,6,18586.66870062852
4300.032902559374,15.106718882893453,1000,754.4777290767001,617.8290952330369,2433.5729609422597,19518.306929324437,12481.360793703298,23642.717800347407,9,5,15810.604443680986
3629.5843543792744,18.105651987777442,500,2981.8974869742556,950.3086128481751,2998.9528977019736,11805.457484628012,11034.389711808511,15357.291424534023,12,2,21085.772774587935
4838.922026084127,20.854476135100303,500,3899.3230342329016,783.2470780424893,4666.706245542211,6439.0450221764095,9527.412374267613,11284.189998758748,4,10,22425.801121289915
3269.3498195748634,19.118901637469538,0,1275.3897225170049,685.9420716720803,3332.5020655218677,5099.837368711379,14666.826176027913,8152.805329639177,2,12,14878.678711795765
3541.7294818020546,31.485218205920066,2000,1504.445714842327,782.252020872012,3530.019250119335,14210.494381606952,11150.582975750183,13365.538671539527,13,1,16264.278975649424
4317.953893973506,24.631839899633654,1000,2102.935735480789,1028.2612471567504,4674.001824280256,12708.667479124459,12417.93469418363,13687.532154243338,5,9,19404.589774931563
3868.6699443812595,17.757354928339307,2000,1610.8497623450053,512.6416433007021,4012.6778164759835,12553.220945778325,17263.683134068095,13736.86002513062,8,6,17606.47568591065
4708.929707150472,20.801363844114206,500,871.0693575387213,573.2434840313274,5568.380206293152,14832.656408645813,21370.162764337965,12347.658067497208,2,12,17830.631180037297
3914.9409086934475,20.070767231022764,2000,3835.080622757137,891.1029630207784,5673.930007999083,13321.055606013182,13375.395149798747,11955.016962265903,8,6,24873.058965996333
3536.4479962119435,15.969455402766085,2000,4455.726630173047,1096.2235643662568,4037.4321561840266,14393.222938477931,6167.09478878628,9794.130539100119,9,5,25625.862456759092
3325.3187127978144,11.612990357437043,1000,2021.8987546181315,504.5196004474218,4128.297916990842,9181.478310833016,12734.213437969982,9568.235043049,4,10,17013.377318491486
4334.205633835367,24.586493895227242,0,4875.090187399737,463.1359199043179,5498.51334591897,14599.447630156623,17120.689358172272,11192.042512336082,5,9,28687.638572614713
