plane,metro_rer,tgv,fioul,gaz,electricite,gazole,essence,elec_car,nr_veg,nr_mix,label
6938.337711825149,25.42190151750946,500,0.0,0.0,4078.810567151903,18091.628816622557,0.0,0.0,6,8,medium
6539.804854349298,16.748696726576895,0,5139.31587767533,0.0,1000.0,0.0,13037.929431200826,0.0,5,9,high
3192.5073568119783,27.588668492538726,500,0.0,455.5055533627273,1000.0,0.0,0.0,8178.504320656554,5,9,low
4055.034468770023,30.58951164067889,0,6958.835473402344,0.0,1000.0,0.0,10617.569602824591,0.0,7,7,high
10581.01447363295,14.589930286228793,500,0.0,0.0,8037.9237088429745,8644.583653999707,0.0,0.0,12,2,medium
2042.222550931349,10.379063554270372,2000,3012.736139555745,0.0,1000.0,16366.06232298788,0.0,0.0,3,11,high
8992.672724115902,19.346812632242468,2000,0.0,474.1640929854239,1000.0,0.0,9187.955433817213,0.0,2,12,medium
4743.329265027896,21.60180359522794,1000,0.0,708.4257653681609,1000.0,0.0,11833.976953536901,0.0,0,14,medium
28113.959684331036,24.44219516525117,2000,3276.652570997276,0.0,1000.0,0.0,12251.375972200849,0.0,6,8,high
1228.2750370579204,17.48359215744518,0,0.0,623.5870498115468,1000.0,13554.106950378286,0.0,0.0,10,4,medium
1098.7392090498477,22.668071661841307,2000,0.0,0.0,8241.836846487016,0.0,0.0,12644.383198820811,1,13,low
4899.962546436795,16.557456424571203,1000,2624.0401777916754,0.0,1000.0,0.0,0.0,16916.772875353246,8,6,medium
20662.10614703967,24.11671564494553,0,4643.187125360449,0.0,1000.0,0.0,14298.132914131902,0.0,2,12,high
4996.178618979438,24.262183840165754,0,0.0,807.2124583892489,1000.0,0.0,0.0,17754.717290426557,7,7,low
2643.694320599763,13.43613057798077,0,0.0,912.9146947654979,1000.0,12770.654372023657,0.0,0.0,12,2,medium
8526.039609363213,3.222244459176327,500,0.0,0.0,2890.7743244983703,0.0,9958.515505024607,0.0,9,5,medium
8347.322958807425,18.360950586986167,2000,0.0,0.0,6506.406281956975,21985.053553103055,0.0,0.0,8,6,medium
8283.525981756982,20.31808362743113,0,0.0,0.0,3136.4330624046265,0.0,12222.494124104422,0.0,7,7,medium
11072.491092940452,17.64316367314646,0,0.0,0.0,5333.261959047899,0.0,7724.441168217777,0.0,1,13,medium
1365.5015088451448,25.94396405584645,500,0.0,974.312009287006,1000.0,16207.176462273346,0.0,0.0,8,6,medium
6427.375889968115,18.451724799728332,2000,2840.9391808770283,0.0,1000.0,0.0,0.0,11945.789931420477,9,5,high
1635.6087564069337,9.73810799264583,0,0.0,0.0,6292.26661857236,12503.82296479806,0.0,0.0,1,13,medium
3844.6582462940128,17.456331450005486,2000,0.0,0.0,5053.668560783974,14206.274542959187,0.0,0.0,11,3,medium
10744.00603843234,14.393518702301058,2000,2944.1456972548795,0.0,1000.0,0.0,0.0,9413.92568834224,3,11,high
1369.514860292998,21.02775843915704,1000,2481.7613727051694,0.0,1000.0,16232.945274827312,0.0,0.0,6,8,high
12159.822643843187,23.731086417034728,2000,0.0,593.7158639231777,1000.0,21003.59781178113,0.0,0.0,6,8,high
2975.786492559486,27.321734685050952,0,4887.470537187868,0.0,1000.0,11596.65956249702,0.0,0.0,3,11,high
2901.2183286193504,20.42967573461757,1000,2919.6312828071423,0.0,1000.0,0.0,0.0,11813.391642592758,13,1,high
4070.98629293791,14.813343750867793,0,0.0,0.0,2683.2071470910864,0.0,13447.458135034294,0.0,9,5,medium
1468.454480606154,19.63403849011202,2000,0.0,715.348154411073,1000.0,0.0,13507.79602108561,0.0,9,5,medium
5986.243899222468,11.337453868882166,2000,3695.115738233629,0.0,1000.0,0.0,10289.172510025523,0.0,6,8,high
2691.6221057706866,25.95326635701837,1000,0.0,0.0,3976.1708885347475,10364.34383790956,0.0,0.0,8,6,low
5733.4881973902875,19.396501800239317,500,0.0,646.7943058699866,1000.0,12566.986603704108,0.0,0.0,0,14,medium
2724.803524159938,16.872216375669677,1000,0.0,0.0,3354.144325194047,0.0,9863.534495624222,0.0,4,10,medium
1276.373593946592,19.281627067582583,500,0.0,0.0,2792.1351839357403,9975.420375895597,0.0,0.0,4,10,low
14668.607503067475,24.23031584392522,500,1008.5014754743415,0.0,1000.0,13160.141254210776,0.0,0.0,13,1,medium
1931.5275682503361,23.110355772725047,500,0.0,852.7595640330289,1000.0,0.0,11525.48378697192,0.0,4,10,medium
3548.8729936471836,10.234395925050924,500,0.0,0.0,5884.948091387088,16609.562090966698,0.0,0.0,3,11,medium
4587.049311404882,21.018139946320034,2000,0.0,0.0,7252.245343915851,0.0,0.0,12999.941457104584,13,1,low
5525.575017664964,16.88551654313663,0,3709.9605773144717,0.0,1000.0,0.0,0.0,13557.470978436926,13,1,high
9698.783111404893,21.33478778429708,500,3633.2385882659228,0.0,1000.0,11623.449583112866,0.0,0.0,8,6,high
1670.7439643237076,22.39404709925774,2000,0.0,0.0,5375.871844679153,13379.276267876132,0.0,0.0,12,2,medium
14839.538120690946,12.09697889645506,0,0.0,713.677454883448,1000.0,7141.983599729766,0.0,0.0,6,8,medium
8841.033955988412,29.708929001280815,500,0.0,0.0,3308.986769800854,12512.930404450371,0.0,0.0,12,2,medium
1719.0137100053241,14.352048961615674,1000,3789.805550476265,0.0,1000.0,0.0,9369.832659848493,0.0,5,9,high
2022.344449445825,16.87220207729678,1000,0.0,365.688091205574,1000.0,0.0,0.0,14251.362194953997,8,6,low
3432.5522472572748,21.138487893174954,1000,0.0,0.0,6444.040557562674,0.0,0.0,12449.860141361762,9,5,low
2649.982526942097,20.227492378832395,1000,0.0,0.0,2558.7522434930997,10879.982017636656,0.0,0.0,0,14,medium
7778.0463512965825,20.1858157640694,2000,2539.7144152586484,0.0,1000.0,0.0,0.0,11863.314322866137,6,8,high
2254.5317393915584,24.511579327665423,1000,0.0,0.0,4374.629301328025,12855.575342186929,0.0,0.0,5,9,medium
5579.721470331983,18.549577268913474,500,4211.731296233634,0.0,1000.0,0.0,0.0,10108.265065730893,11,3,high
3311.2796782924443,19.75994967338468,500,0.0,0.0,3093.8178871653563,8577.787094014231,0.0,0.0,6,8,medium
3313.9843410173953,22.124889721140597,0,0.0,373.5147212713284,1000.0,13099.52099966762,0.0,0.0,6,8,medium
2179.7775731247348,24.47101465561564,1000,0.0,0.0,3479.1140564577254,0.0,16315.057678422221,0.0,2,12,medium
3470.060317745388,25.610093998764057,0,0.0,0.0,4367.138794076583,0.0,10756.591822125749,0.0,3,11,medium
4387.162468704407,22.23471824092695,2000,0.0,0.0,2679.9300231919715,0.0,0.0,13639.762233864776,4,10,low
2205.985139833426,13.631775735113667,0,0.0,911.4217924123134,1000.0,12693.863042459636,0.0,0.0,8,6,medium
1049.1452118135019,21.712378754909643,0,0.0,0.0,3155.195774079306,0.0,0.0,9865.836435140796,8,6,low
2386.899165497493,23.331134858615012,1000,0.0,0.0,4458.9591195607945,15749.829123029078,0.0,0.0,9,5,medium
5687.207558066493,20.820948216878342,2000,0.0,551.0249545245763,1000.0,0.0,0.0,13314.617211395322,0,14,low
1585.6461054751126,31.336868619160242,500,0.0,0.0,3270.8621142405664,19625.06780903791,0.0,0.0,9,5,medium
6343.643713976168,25.297521887117334,1000,0.0,1205.672840882361,1000.0,13602.015513165281,0.0,0.0,1,13,medium
1794.8609665791973,27.52484226051785,0,0.0,0.0,4426.600936343482,0.0,0.0,9911.793587811133,13,1,low
3114.052000331092,15.998251196911419,500,1530.3321366682912,0.0,1000.0,18698.756866472468,0.0,0.0,9,5,high
12081.249526622556,16.828879941041958,1000,0.0,0.0,5291.198198819677,0.0,11973.227383104946,0.0,0,14,medium
3774.1068993047693,32.11699075691003,0,3314.1920685481996,0.0,1000.0,0.0,9765.172739897373,0.0,1,13,high
4167.813656365437,29.00465225164298,0,6720.646598753846,0.0,1000.0,0.0,5975.727609561131,0.0,3,11,high
7455.37164267254,15.947482984459986,1000,0.0,636.0103183370709,1000.0,0.0,12723.56925392314,0.0,7,7,medium
7804.932958181572,19.239101380082644,0,1951.7027047731071,0.0,1000.0,0.0,14689.08835162742,0.0,6,8,high
11445.777275602282,23.093856489654375,0,0.0,595.9866101042745,1000.0,0.0,12051.846538604887,0.0,0,14,medium
1897.869207360683,19.845715490965645,1000,2282.471499747316,0.0,1000.0,0.0,0.0,9813.071638985082,3,11,medium
4811.363766248841,13.008655981338318,500,0.0,0.0,7203.792839750853,12595.986278154332,0.0,0.0,1,13,medium
1086.994578155605,27.509069993743733,500,2570.1940506620367,0.0,1000.0,12678.488514478098,0.0,0.0,13,1,high
6996.751831240508,16.411724116766003,0,0.0,0.0,5333.155629417103,0.0,14335.048522386438,0.0,1,13,medium
1437.943823066084,17.72670743788875,1000,4271.68718491711,0.0,1000.0,7453.4827858502495,0.0,0.0,2,12,high
6338.341542423899,14.701433578678571,2000,7071.814320374766,0.0,1000.0,0.0,0.0,11599.323723181436,12,2,high
5418.699968684593,20.471485526144477,0,0.0,713.5748351040575,1000.0,0.0,11515.264149980625,0.0,0,14,medium
11528.292428330069,23.96422793936581,0,4642.27786963831,0.0,1000.0,0.0,16495.299855758134,0.0,6,8,high
1994.2921800914432,21.929025312294993,0,3900.8702917539104,0.0,1000.0,10576.92719592426,0.0,0.0,2,12,high
10711.555079282127,18.524321694768965,1000,3021.9880352876107,0.0,1000.0,0.0,15531.659840507713,0.0,8,6,high
5031.923194186818,26.93090081651767,1000,0.0,0.0,2339.1939288930794,0.0,10538.537264607072,0.0,9,5,medium
5294.440439658435,24.41002583264387,1000,1423.8837420957893,0.0,1000.0,11750.155881741279,0.0,0.0,11,3,medium
7786.525415347686,24.598910404321078,500,0.0,882.6679095234339,1000.0,6661.918769286801,0.0,0.0,11,3,medium
4485.602758647622,15.25961798621261,500,0.0,791.0263143692192,1000.0,10429.507058853886,0.0,0.0,9,5,medium
